Open_Time_ms,Close_Time_ms,Close,RSI_14,EMA_12,EMA_21,EMA_26,EMA_50,EMA_200,MACD,MACD_Signal,MACD_Histogram
1772460000000,1772463599999,633.97,,633.97,633.97,633.97,633.97,633.97,0.0,0.0,0.0
1772463600000,1772467199999,646.25,,635.8592307692307,635.0863636363637,634.8796296296296,634.451568627451,634.0921890547264,0.9796011396011863,0.19592022792023728,0.7836809116809491
1772467200000,1772470799999,649.13,,637.9008875739644,636.3630578512397,635.9352126200274,635.0271933871588,634.2418190143809,1.9656749539369684,0.5498711731235836,1.415803780813385
1772470800000,1772474399999,644.44,,638.9069048702775,637.0973253193088,636.5651968703957,635.3963230582507,634.3432934520488,2.3417079998818053,0.9082385384752281,1.4334694614065773
1772474400000,1772477999999,639.78,,639.041227197927,637.3412048357352,636.8033304355515,635.5682319579272,634.3973900346155,2.237896762375499,1.1741701832552822,1.0637265791202166
1772478000000,1772481599999,636.48,,638.6471922443998,637.2629134870319,636.7793800329181,635.6039875674203,634.4181125218333,1.8678122114816915,1.3128985889005642,0.5549136225811273
1772481600000,1772485199999,634.72,,638.0430088221844,637.0317395336655,636.626833363813,635.5693213883058,634.4211163773375,1.4161754583714128,1.333553962794734,0.08262149557667886
1772485200000,1772488799999,635.67,,637.6779305418484,636.9079450306049,636.5559568183454,635.5732695691564,634.4335430800506,1.121973723502947,1.2912379149363766,-0.16926419143342963
1772488800000,1772492399999,639.84,,638.0105566123333,637.174495482368,636.7992192762458,635.7405923311503,634.4873386712939,1.2113373360874675,1.275257799166595,-0.06392046307912747
1772492400000,1772495999999,637.79,,637.9766248258204,637.2304504385164,636.8726104409683,635.8209612593405,634.5202009730721,1.1040143848521211,1.2410091163037003,-0.13699473145157914
1772496000000,1772499599999,640.68,,638.3925286987711,637.5440458531967,637.1546392971928,636.0115117981899,634.5814925056784,1.2378894015782862,1.2403851733586175,-0.002495771780331335
1772499600000,1772503199999,635.73,,637.9829088989602,637.3791325938151,637.0491104603637,636.0004721198294,634.5929204409452,0.9337984385964546,1.179067826406185,-0.2452693878097303
1772503200000,1772506799999,635.71,,637.6332306068125,637.2273932671046,636.9499170929294,635.9890810563066,634.6040356604384,0.6833135138831494,1.0799169639015778,-0.39660345001842834
1772506800000,1772510399999,635.63,51.85765443151294,637.3250412826875,637.0821756973678,636.8521454564161,635.9749994462554,634.614244260832,0.47289582627138316,0.9585127363755389,-0.48561691010415575
