Open_Time_ms,Close_Time_ms,Close,RSI_14,EMA_12,EMA_21,EMA_26,EMA_50,EMA_200,MACD,MACD_Signal,MACD_Histogram
1772460000000,1772463599999,1979.75,,1979.75,1979.75,1979.75,1979.75,1979.75,0.0,0.0,0.0
1772463600000,1772467199999,2047.33,,1990.146923076923,1985.8936363636362,1984.755925925926,1982.4001960784315,1980.4224378109452,5.390997150997009,1.0781994301994018,4.312797720797607
1772467200000,1772470799999,2064.33,,2001.559704142012,1993.024214876033,1990.650301783265,1985.6131295655518,1981.2573389272543,10.909402358747002,3.044440015908922,7.86496234283808
1772470800000,1772474399999,2041.01,,2007.6289804278563,1997.3865589782117,1994.3806497993194,1987.7855558570989,1981.8518927687742,13.248330628536905,5.085218138434519,8.163112490102385
1772474400000,1772477999999,2029.4,,2010.9783680543399,2000.2968717983742,1996.9746757401106,1989.417494843095,1982.3250082636123,14.003692314229284,6.868912973593472,7.134779340635811
1772478000000,1772481599999,2043.57,,2015.992465276749,2004.2307925439766,2000.426181240843,1991.5411224963073,1982.934411166462,15.566284035905937,8.608387186055966,6.957896849849972
1772481600000,1772485199999,2035.5,,2018.9936244649416,2007.0734477672513,2003.0242418896696,1993.2650000454717,1983.457451851373,15.969382575271993,10.080586263899171,5.888796311372822
1772485200000,1772488799999,2043.01,,2022.6884514703352,2010.3404070611375,2005.9861498978423,1995.215784357414,1984.0500145195185,16.702301572492843,11.404929325617907,5.297372246874936
1772488800000,1772492399999,2053.82,,2027.4779204748988,2014.2930973283069,2009.5293980535575,1997.5139888924173,1984.744243230767,17.948522421341295,12.713647944762585,5.23487447657871
1772492400000,1772495999999,2027.35,,2027.4582404018374,2015.480088480279,2010.8494426421828,1998.6840285436951,1985.168181109068,16.608797759654635,13.492677907740996,3.1161198519136395
1772496000000,1772499599999,2035.46,,2028.6892803400162,2017.2964440729806,2012.67244689091,2000.126223502766,1985.6685972174355,16.016833449106343,13.997509016014067,2.019324433092276
1772499600000,1772503199999,2020.01,,2027.3540064415522,2017.543130975437,2013.215969343435,2000.905979443834,1986.0103027177595,14.138037098117138,14.025614632434683,0.11242246568245484
1772503200000,1772506799999,2013.67,,2025.2487746813133,2017.191028159488,2013.2496012439212,2001.4065292695661,1986.2855235862396,11.999173437392074,13.620326393426161,-1.6211529560340878
1772506800000,1772510399999,2008.88,56.58364597929759,2022.730501653419,2016.4354801449892,2012.925927077705,2001.6996065531125,1986.5103442470731,9.804574575714014,12.857176029883734,-3.0526014541697197
1772510400000,1772513999999,1999.82,54.357549177124476,2019.2058090913545,2014.92498194999,2011.9551176645416,2001.6258964922063,1986.6427786326744,7.250691426812864,11.735879109269561,-4.485187682456697
1772514000000,1772517599999,1993.36,34.048590175563064,2015.2295307696077,2012.9645290454455,2010.577701541242,2001.3017436885905,1986.7096166562299,4.651829228365614,10.319069133088773,-5.667239904723159
1772517600000,1772521199999,1999.27,29.42181174089076,2012.7742183435143,2011.7195718594958,2009.7400940196685,2001.2220674655086,1986.834595594974,3.0341243238458446,8.862080171240189,-5.827955847394344
1772521200000,1772524799999,1996.33,33.77632534495284,2010.2443385983584,2010.3205198722687,2008.7467537219152,2001.0302216825476,1986.929077230845,1.4975848764431703,7.389181112280786,-5.891596235837616
1772524800000,1772528399999,1953.1,27.468698322702608,2001.4529018909184,2005.118654429335,2004.6247719647363,1999.1506051459771,1986.5924694972048,-3.1718700738178995,5.27697087506105,-8.44884094887895
1772528400000,1772531999999,1951.58,20.642113997574654,1993.7801477538542,2000.2515040266683,2000.695529596978,1997.2850912186839,1986.244086716138,-6.915381843123896,2.8385003314240604,-9.753882174547957
1772532000000,1772535599999,1958.05,25.027406977494152,1988.2832019455689,1996.4150036606075,1997.5366014786832,1995.7464601905003,1985.963548539858,-9.253399533114361,0.42012035851637597,-9.673519891630738
1772535600000,1772539199999,1961.28,22.899396511705177,1984.1288631847121,1993.2209124187339,1994.850927295077,1994.3948343006768,1985.7179410917004,-10.722064110364954,-1.8083165352598902,-8.913747575105063
1772539200000,1772542799999,1967.57,20.51685239625357,1981.5813457716795,1990.889011289758,1992.830117865812,1993.3428800143759,1985.5373645634247,-11.248772094132619,-3.6964076470344365,-7.552364447098182
1772542800000,1772546399999,1952.14,22.191821341418446,1977.051907960652,1987.36637389978,1989.816035060937,1991.7270807981258,1985.2050524782164,-12.764127100285123,-5.509951537684573,-7.254175562600549
1772546400000,1772549999999,1942.78,16.046307151230977,1971.7793067359364,1983.313067181618,1986.3318843156824,1989.8075874334936,1984.7829126525626,-14.552577579745957,-7.3184767460968505,-7.234100833649107
1772550000000,1772553599999,1969.22,32.779548382721956,1971.3855672381,1982.0318792560163,1985.0643373293356,1989.0002310635527,1984.6280578002984,-13.678770091235492,-8.59053541512458,-5.088234676110913
1772553600000,1772557199999,1983.98,40.47725960613253,1973.3231722783926,1982.2089811418327,1984.984016045681,1988.803359257139,1984.6216094639772,-11.660843767288497,-9.204597085557364,-2.456246681731134
1772557200000,1772560799999,1980.6,40.846711548420465,1974.4426842355629,1982.0627101289388,1984.6592741163713,1988.481658894114,1984.5815934494103,-10.216589880808442,-9.40699564460758,-0.8095942362008621
1772560800000,1772564399999,1988.2,46.20311070448312,1976.5591943531686,1982.6206455717625,1984.921550107751,1988.470613447286,1984.6175974946898,-8.362355754582495,-9.198067666602563,0.8357119120200682
1772564400000,1772567999999,1986.02,47.5326072340998,1978.0147029142195,1982.9296777925113,1985.002916766436,1988.3745109591573,1984.631551748474,-6.9882138522166315,-8.756096903725378,1.767883051508747
1772568000000,1772571599999,1978.34,43.046973623015084,1978.064748619724,1982.5124343568282,1984.5093673763297,1987.9810007254648,1984.5689492435142,-6.444618756605678,-8.293801274301439,1.8491825176957608
1772571600000,1772575199999,1968.46,41.14957129247385,1976.5870949859204,1981.2349403243893,1983.3205253484534,1987.2154712852507,1984.40866119134,-6.733430362532999,-7.981727091947751,1.2482967294147516
1772575200000,1772578799999,1983.31,61.702951886573175,1977.6213880650093,1981.423582113081,1983.3197456930125,1987.0623155485744,1984.3977292391874,-5.698357628003123,-7.525053199158826,1.8266955711557031
1772578800000,1772582399999,1982.8,62.189598625644216,1978.4180975934694,1981.5487110118918,1983.2812460120485,1986.8951659192185,1984.3818314358125,-4.863148418579158,-6.992672243042893,2.1295238244637353
1772582400000,1772585999999,1976.68,57.293868921775946,1978.1506979637047,1981.1061009199016,1982.792264825971,1986.4945711772884,1984.3051962971479,-4.641566862266245,-6.5224511668875635,1.8808843046213184
1772586000000,1772589599999,1981.73,57.89392418744694,1978.7013598154424,1981.1628190180923,1982.7135785425658,1986.3077252487674,1984.279572453395,-4.012218727123354,-6.020404678934722,2.0081859518113676
1772589600000,1772593199999,1979.24,54.64089716058222,1978.7842275361436,1980.9880172891749,1982.4562764283016,1986.0305595527373,1984.2294274538588,-3.6720488921580454,-5.550733521579387,1.8786846294213415
1772593200000,1772596799999,1960.9,53.40485074626865,1976.0328079151986,1979.1618338992498,1980.8595152113903,1985.0450474134143,1983.9972938473527,-4.826707296191671,-5.405928276501844,0.5792209803101729
1772596800000,1772600399999,1960.25,57.28341532560661,1973.6046836205528,1977.4425762720452,1979.332884454991,1984.0726926128882,1983.7610023662844,-5.728200834438212,-5.470382788089118,-0.2578180463490938
1772600400000,1772603999999,1971.14,50.91971642077029,1973.2255015250832,1976.8696147927683,1978.7260041249917,1983.5655281966965,1983.635420253187,-5.5005025999084864,-5.476406750452992,-0.024095849455494367
1772604000000,1772607599999,1980.33,48.15302094929658,1974.318501290455,1977.184195266153,1978.8448186342516,1983.4386447380027,1983.6025304994241,-4.526317343796563,-5.286388869121707,0.7600715253251433
1772607600000,1772611199999,2006.55,60.66584463625157,1979.277193399616,1979.8538138783208,1980.8970542909738,1984.344972395336,1983.8308635292806,-1.6198608913578028,-4.553083273568926,2.933222382211123
1772611200000,1772614799999,2063.71,72.0518661293149,1992.2668559535211,1987.4771035257463,1987.0313465657164,1987.4573264190485,1984.6256808075962,5.235509387804768,-2.595364741294187,7.830874129098955
1772614800000,1772618399999,2075.23,74.70506784824153,2005.0304165760563,1995.4546395688603,1993.564580153441,1990.8993920496741,1985.5272163219486,11.465836422615212,0.2168754914876927,11.248960931127518
1772618400000,1772621999999,2072.34,76.74101046882126,2015.3857371028168,2002.4442177898732,1999.3997964383714,1994.0931413810595,1986.391025114765,15.98594066444548,3.37068852607925,12.61525213836623
1772622000000,1772625599999,2054.97,73.60436562073663,2021.4756237023835,2007.2192888998845,2003.516107813307,1996.4804691700374,1987.0734029743196,17.959515889076556,6.288453998678712,11.671061890397844
1772625600000,1772629199999,2054.33,71.0068622811169,2026.530143132786,2011.5020808180768,2007.280099827136,1998.7490782221928,1987.742622845222,19.250043305650024,8.880771860072976,10.369271445577048
1772629200000,1772632799999,2064.49,72.85802227321057,2032.370121112357,2016.3191643800699,2011.517870210311,2001.3271535860285,1988.5062783392996,20.85225090204608,11.275067668467596,9.577183233578484
1772632800000,1772636399999,2080.0,77.46703530412586,2039.697794787379,2022.1083312546089,2016.5906205651029,2004.4123632493215,1989.4166636294558,23.10717422227617,13.641488979229312,9.46568524304686
1772636400000,1772639999999,2150.23,83.26620863934293,2056.7027494354747,2033.7557556860081,2026.4898338565768,2010.1307019454266,1991.0167963296603,30.21291557889799,16.95577429916305,13.257141279734942
1772640000000,1772643599999,2142.39,81.5436371370016,2069.8854033684784,2043.6315960781892,2035.0750313486822,2015.3173410848217,1992.522997361206,34.810372019796205,20.52669384328968,14.283678176506523
1772643600000,1772647199999,2146.07,87.95244927239179,2081.606110542559,2052.9441782528993,2043.2968808784094,2020.4448963363975,1994.050828233234,38.30922966414937,24.083201007461618,14.226028656687753
1772647200000,1772650799999,2163.18,88.96355746707108,2094.1559396898574,2062.965616593545,2052.177111924453,2026.042351382029,1995.7337055642465,41.978827765404276,27.662326359050148,14.316501406354128
1772650800000,1772654399999,2177.51,89.10744741330295,2106.9796412760334,2073.378742357768,2061.461029559679,2031.9822591709692,1997.542424911866,45.51861171635437,31.233583430510993,14.285028285843378
1772654400000,1772657999999,2150.13,80.10211317543605,2113.6181580027974,2080.3561294161523,2068.0291014441473,2036.6155039093626,1999.0607092411012,45.5890565586501,34.104678056138816,11.484378502511284
1772658000000,1772661599999,2149.86,77.98039751649804,2119.193826002367,2086.674663105593,2074.0906494853216,2041.0564645403679,2000.5611996964137,45.10317651704554,36.304377748320164,8.798798768725376
