Open_Time_ms,Close_Time_ms,Close,RSI_14,EMA_12,EMA_21,EMA_26,EMA_50,EMA_200,MACD,MACD_Signal,MACD_Histogram
1772460000000,1772463599999,85.68,,85.68,85.68,85.68,85.68,85.68,0.0,0.0,0.0
1772463600000,1772467199999,88.77,,86.15538461538462,85.9609090909091,85.9088888888889,85.80117647058825,85.71074626865672,0.2464957264957235,0.0492991452991447,0.1971965811965788
1772467200000,1772470799999,88.85,,86.56994082840237,86.22355371900827,86.12674897119342,85.920738177624,85.74198262419247,0.4431918572089444,0.12807768768110464,0.31511416952783977
1772470800000,1772474399999,87.61,,86.72994993172509,86.34959429000752,86.23661941777169,85.9869837392858,85.7605698617627,0.49333051395339567,0.20112825293556286,0.2922022610178328
1772474400000,1772477999999,87.31,,86.81918840376737,86.43690390000683,86.31612909052934,86.03886672990205,85.77598707706855,0.5030593132380261,0.2615144649960555,0.2415448482419706
1772478000000,1772481599999,87.65,,86.94700557241853,86.54718536364257,86.41493434308272,86.10204842676865,85.79463397182408,0.5320712293358127,0.315625817864007,0.21644541147180574
1772481600000,1772485199999,87.57,,87.04285086896952,86.64016851240234,86.50049476211363,86.15961515513067,85.81229930543778,0.5423561068558911,0.3609718756623838,0.18138423119350727
1772485200000,1772488799999,87.54,,87.11933535066652,86.7219713749112,86.57749515010522,86.21374789414516,85.82949035712497,0.5418402005612961,0.39714554064216634,0.14469465991912978
1772488800000,1772492399999,88.04,,87.26097606594858,86.84179215901018,86.68582884269003,86.28536562378653,85.8514854779496,0.5751472232585542,0.43274587716544394,0.14240134609311023
1772492400000,1772495999999,86.64,,87.16544128657188,86.82344741728198,86.68243411360187,86.29927285422627,85.85933139359189,0.48300717297000517,0.44279813632635623,0.04020903664364894
1772496000000,1772499599999,86.92,,87.12768108863773,86.8322249248018,86.7000315866684,86.323615095237,85.86988531007357,0.42764950196932716,0.43976840945495044,-0.012118907485623276
1772499600000,1772503199999,86.17,,86.98034553653962,86.77202265891073,86.66076998765593,86.31759097385516,85.87287152589374,0.3195755488836909,0.41572983734069857,-0.09615428845700769
1772503200000,1772506799999,86.21,,86.86183083861044,86.72092968991885,86.62737961819994,86.31337171997849,85.87622603807391,0.2344512204105058,0.3794741139546601,-0.14502289354415426
1772506800000,1772510399999,86.31,53.827460510328045,86.77693378651654,86.68357244538076,86.60387001685179,86.31323949566561,85.88054219689904,0.17306376966475057,0.33819204509667816,-0.1651282754319276
1772510400000,1772513999999,85.85,50.9781357882623,86.63432858859092,86.60779313216432,86.54802779338128,86.29507324093362,85.88023829444234,0.08630079520963818,0.2878137951192702,-0.201512999909632
1772514000000,1772517599999,85.8,23.71681415929207,86.50597034419232,86.53435739287664,86.4926183272049,86.27565860403426,85.87943990345286,0.013352016987425941,0.23292143949290137,-0.21956942250547543
1772517600000,1772521199999,85.85,23.309608540925296,86.4050518297012,86.4721430844333,86.44501696963417,86.2589661097584,85.87914696909014,-0.039965139932974125,0.17834412360772628,-0.2183092635407004
1772521200000,1772524799999,85.58,28.172043010752702,86.27812077897794,86.39103916766663,86.38094163855015,86.2323399878071,85.87617038233303,-0.10282085957221909,0.1221111269717372,-0.2249319865439563
1772524800000,1772528399999,84.26,23.104056437389815,85.96764065913518,86.1973083342424,86.2238348505094,86.15499332161858,85.86008908499639,-0.2561941913742203,0.04645006330254571,-0.302644254676766
1772528400000,1772531999999,84.31,18.959107806691392,85.71261901926823,86.02573484931128,86.08206930602722,86.08264064233943,85.84466531300637,-0.3694502867589904,-0.036730006709761516,-0.3327202800492289
1772532000000,1772535599999,83.92,17.926186291739867,85.43683147784235,85.83430440846479,85.92191602409927,85.99783120538495,85.82551441436951,-0.4850845462569282,-0.12640091461919487,-0.3586836316377333
1772535600000,1772539199999,84.21,22.016806722688912,85.24808817355891,85.68664037133162,85.79510742972155,85.9277201777228,85.80943964407727,-0.5470192561626419,-0.21052458292788429,-0.3364946732347576
1772539200000,1772542799999,84.42,18.021201413427505,85.1206899930114,85.5714912466651,85.69324762011254,85.86859389624348,85.79561437398696,-0.5725576271011477,-0.28293119176253695,-0.2896264353386107
