datetime,BNB,ETH,SOL,USDC,BNBUSDC,ETHUSDC,SOLUSDC,SUM
2026-04-01 06:00:00+00:00,-0.00031360999999999195,0.0013999999999999985,-0.0009368600000001504,97.76846709,-0.19419358419999502,3.0117219999999967,-0.0791178270000127,100.50687767879998
2026-04-01 07:00:00+00:00,-0.00031360999999999195,0.0013999999999999985,-0.0009368600000001504,97.76846709,-0.19328411519999505,2.983399999999997,-0.07854634240001261,100.48003663239999
2026-04-01 08:00:00+00:00,-0.00031360999999999195,0.0013999999999999985,-0.0009368600000001504,97.76846709,-0.19301127449999506,2.9917439999999966,-0.07834023320001257,100.4888595823
2026-04-01 09:00:00+00:00,-0.00031360999999999195,0.0013999999999999985,-0.0009368600000001504,97.76846709,-0.19306145209999506,2.9909459999999966,-0.07811538680001254,100.48823625109999
2026-04-01 10:00:00+00:00,-0.00031360999999999195,0.0013999999999999985,-0.0009368600000001504,97.76846709,-0.19279801969999505,2.985709999999997,-0.07811538680001254,100.4832636835
2026-04-01 11:00:00+00:00,-0.00031360999999999195,0.0013999999999999985,-0.0009368600000001504,97.76846709,-0.19297677739999505,2.9894479999999968,-0.07810601820001253,100.48683229439999
2026-04-01 12:00:00+00:00,-0.00031360999999999195,0.0013999999999999985,-0.0009368600000001504,97.76846709,-0.19276038649999505,2.983147999999997,-0.07778748580001249,100.48106721769999
2026-04-01 13:00:00+00:00,-0.00031360999999999195,0.0013999999999999985,-0.0009368600000001504,97.76846709,-0.19158748509999507,2.966991999999997,-0.07745021620001243,100.46642138869998
2026-04-01 14:00:00+00:00,-0.00031360999999999195,0.0013999999999999985,-0.0009368600000001504,97.76846709,-0.19247813749999507,2.977533999999997,-0.07812475540001254,100.47539819709999
2026-04-01 15:00:00+00:00,-0.00031360999999999195,0.0013999999999999985,-0.0009368600000001504,97.76846709,-0.19281370019999508,2.9890559999999966,-0.07834960180001257,100.48635978799999
2026-04-01 16:00:00+00:00,-0.00031360999999999195,0.0013999999999999985,-0.0009368600000001504,97.76846709,-0.19330920399999504,3.0045259999999967,-0.07987668360001282,100.49980720239998
2026-04-01 17:00:00+00:00,-0.00031360999999999195,0.0013999999999999985,-0.0009368600000001504,97.76846709,-0.19258790099999507,2.9920939999999967,-0.0791084584000127,100.48886473059999
2026-04-01 18:00:00+00:00,-0.00031360999999999195,0.0013999999999999985,-0.0009368600000001504,97.76846709,-0.19225547439999505,2.980921999999997,-0.07837770760001257,100.47875590799998
2026-04-01 19:00:00+00:00,-0.00031360999999999195,0.0013999999999999985,-0.0009368600000001504,97.76846709,-0.19248127359999506,2.9980019999999965,-0.07852760520001259,100.4954602112
2026-04-01 20:00:00+00:00,-0.00031360999999999195,0.0013999999999999985,-0.0009368600000001504,97.76846709,-0.19239346279999506,3.0014879999999966,-0.0773565302000124,100.50020509699999
2026-04-01 21:00:00+00:00,-0.00031360999999999195,0.0013999999999999985,-0.0009368600000001504,97.76846709,-0.19268825619999505,3.0196459999999967,-0.0766913596000123,100.51873347419998
2026-04-01 22:00:00+00:00,-0.00031360999999999195,0.0013999999999999985,-0.0009368600000001504,97.76846709,-0.1915655323999951,2.9959299999999964,-0.0760449262000122,100.4967866314
2026-04-01 23:00:00+00:00,-0.00031360999999999195,0.0013999999999999985,-0.0009368600000001504,97.76846709,-0.19155612409999506,2.9964899999999965,-0.07605429480001222,100.49734667109999
2026-04-02 00:00:00+00:00,-0.00031360999999999195,0.0013999999999999985,-0.0009368600000001504,97.76846709,-0.19243109599999506,3.0185959999999965,-0.07647588180001227,100.5181561122
2026-04-02 01:00:00+00:00,-0.00031360999999999195,0.0013999999999999985,-0.0009368600000001504,97.76846709,-0.18946434539999513,2.940041999999997,-0.07433047240001193,100.44471427219999
2026-04-02 02:00:00+00:00,-0.00031360999999999195,0.0013999999999999985,-0.0009368600000001504,97.76846709,-0.1872533948999952,2.9034459999999966,-0.07389014820001186,100.4107695469
2026-04-02 03:00:00+00:00,-0.00031360999999999195,-0.043800000000000006,-0.0009368600000001504,191.45902709,-0.1856759365999952,-90.067254,-0.07402130860001188,101.13207584479999
2026-04-02 04:00:00+00:00,-0.00031360999999999195,-0.043800000000000006,-0.0009368600000001504,191.45902709,-0.18437445509999525,-89.55172800000001,-0.07384330520001184,101.64908132969998
2026-04-02 05:00:00+00:00,-0.00031360999999999195,-0.043800000000000006,-0.0009368600000001504,191.45902709,-0.18527765189999523,-89.79919800000002,-0.07425552360001192,101.40029591449996
2026-04-02 06:00:00+00:00,-0.00031360999999999195,-0.043800000000000006,-0.0009368600000001504,191.45902709,-0.18503930829999524,-89.79394200000002,-0.0741243632000119,101.40592141849999
2026-04-02 07:00:00+00:00,-0.00031360999999999195,-0.043800000000000006,-0.0009368600000001504,191.45902709,-0.18560067019999527,-90.05674200000001,-0.07462089900001198,101.1420635208
2026-04-02 08:00:00+00:00,-0.00031360999999999195,-0.043800000000000006,-0.0009368600000001504,191.45902709,-0.18437445509999525,-89.627502,-0.0741243632000119,101.57302627169999
2026-04-02 09:00:00+00:00,-0.00031360999999999195,-0.043800000000000006,-0.0009368600000001504,191.45902709,-0.1836939213999953,-89.52720000000001,-0.07425552360001192,101.67387764499999
2026-04-02 10:00:00+00:00,-0.00031360999999999195,-0.043800000000000006,-0.0009368600000001504,191.45902709,-0.1823297178999953,-89.29900200000002,-0.07391825400001187,101.9037771181
2026-04-02 11:00:00+00:00,-0.00031360999999999195,-0.043800000000000006,-0.0009368600000001504,191.45902709,-0.18227954029999532,-89.04583800000002,-0.07336550660001177,102.15754404309999
2026-04-02 12:00:00+00:00,-0.00031360999999999195,-0.043800000000000006,-0.0009368600000001504,191.45902709,-0.18045119399999537,-88.78172400000001,-0.07304697420001172,102.42380492179998
2026-04-02 13:00:00+00:00,-0.00031360999999999195,-0.043800000000000006,-0.0009368600000001504,191.45902709,-0.1797675241999954,-89.299878,-0.07283149640001169,101.90655006939998
2026-04-02 14:00:00+00:00,-0.00031360999999999195,-0.043800000000000006,-0.0009368600000001504,191.45902709,-0.18065504049999534,-90.39531600000002,-0.07407752020001188,100.80897852929998
2026-04-02 15:00:00+00:00,-0.00031360999999999195,-0.043800000000000006,-0.0009368600000001504,191.45902709,-0.18005290929999537,-90.21048,-0.07404004580001189,100.99445413489998
2026-04-02 16:00:00+00:00,-0.00031360999999999195,0.0015999999999999973,-0.0009368600000001504,97.98269708999999,-0.18185930289999533,3.3012959999999945,-0.07441478980001195,101.02771899729997
2026-04-02 17:00:00+00:00,-0.00031360999999999195,0.0015999999999999973,-0.0009368600000001504,97.98269708999999,-0.18143279329999534,3.2755679999999945,-0.07362782740001182,101.00320446929997
2026-04-02 18:00:00+00:00,-0.00031360999999999195,0.0015999999999999973,-0.0009368600000001504,97.98269708999999,-0.18250533949999534,3.2933119999999945,-0.0741337318000119,101.01937001869997
2026-04-02 19:00:00+00:00,-0.00031360999999999195,0.0015999999999999973,-0.0009368600000001504,97.98269708999999,-0.1829945710999953,3.3045439999999946,-0.07399320280001188,101.03025331609997
2026-04-02 20:00:00+00:00,-0.00031360999999999195,0.0015999999999999973,-0.0009368600000001504,97.98269708999999,-0.1830353403999953,3.3091039999999943,-0.0741618376000119,101.03460391199997
2026-04-02 21:00:00+00:00,-0.00031360999999999195,0.0015999999999999973,-0.0009368600000001504,97.98269708999999,-0.1832266424999953,3.3007679999999944,-0.07398383420001187,101.02625461329998
2026-04-02 22:00:00+00:00,-0.00031360999999999195,0.0015999999999999973,-0.0009368600000001504,97.98269708999999,-0.1829161685999953,3.2960479999999945,-0.07400257140001187,101.02182634999997
2026-04-02 23:00:00+00:00,-0.00031360999999999195,0.0015999999999999973,-0.0009368600000001504,97.98269708999999,-0.1829977071999953,3.2914719999999944,-0.07395572840001187,101.01721565439998
