Open_Time_ms,Open,High,Low,Close,Volume,Close_Time_ms,Quote_Asset_Volume,Number_of_Trades,Taker_Buy_Base_Asset_Volume,Taker_Buy_Quote_Asset_Volume
1772028000000,614.18,619.01,613.2,618.69,17317.485,1772031599999,10659788.15549,99471,9603.417,5914034.39406
1772031600000,618.69,623.15,616.0,621.38,13779.01,1772035199999,8537533.71534,99187,8155.059,5054042.32421
1772035200000,621.39,625.89,620.93,625.52,15376.764,1772038799999,9580068.88949,83512,10067.44,6270959.20751
1772038800000,625.53,629.42,625.05,629.04,11361.097,1772042399999,7130139.95728,64506,5371.943,3371161.1687
1772042400000,629.05,634.32,626.56,632.67,12466.481,1772045999999,7865542.17642,63515,8450.064,5331391.37212
1772046000000,632.67,633.29,628.39,632.21,10288.879,1772049599999,6492389.19307,44294,4649.556,2933597.7253
1772049600000,632.21,633.2,629.9,631.7,5502.982,1772053199999,3475753.28668,28867,3492.296,2206010.90754
1772053200000,631.7,640.55,629.61,634.94,14210.849,1772056799999,9029126.3566,77618,9169.404,5826890.63404
1772056800000,634.94,637.0,628.04,631.89,10454.656,1772060399999,6617363.32851,46783,5608.223,3552885.17738
1772060400000,631.89,634.94,624.33,629.42,9784.763,1772063999999,6156006.0696,65501,4873.253,3067594.78953
1772064000000,629.42,633.83,627.54,630.08,7746.187,1772067599999,4886240.04075,79961,4023.12,2538463.85857
1772067600000,630.09,632.26,627.04,627.54,7020.549,1772071199999,4419073.26868,41229,4401.775,2770955.91856
1772071200000,627.53,628.8,625.37,628.01,6278.693,1772074799999,3934408.37707,48930,3386.607,2122339.484
1772074800000,628.01,628.6,626.35,627.87,4216.263,1772078399999,2646204.657,32949,2018.246,1266750.52522
1772078400000,627.88,632.47,627.45,630.52,3661.567,1772081999999,2306739.27016,40697,2138.55,1347453.85418
1772082000000,630.53,630.75,626.24,628.52,4271.653,1772085599999,2682309.42825,43541,2076.072,1303682.08142
1772085600000,628.52,629.64,625.84,626.61,3877.935,1772089199999,2433357.67839,38037,1581.298,992413.00912
1772089200000,626.61,628.4,625.3,625.6,2825.215,1772092799999,1770564.35263,25095,1278.888,801842.81854
1772092800000,625.61,629.08,625.61,626.24,3136.263,1772096399999,1967282.91777,29535,1683.624,1056141.92598
1772096400000,626.24,630.29,625.87,629.45,4593.264,1772099999999,2888676.8457,38203,2853.752,1794778.15188
1772100000000,629.46,630.22,625.03,626.02,4728.061,1772103599999,2966049.95296,37399,2144.093,1345544.28491
1772103600000,626.01,626.78,622.89,622.96,3918.451,1772107199999,2445337.5324,30305,1436.742,896754.53007
1772107200000,622.97,626.78,622.82,626.6,3104.331,1772110799999,1940945.5037,25833,1886.869,1179801.47896
1772110800000,626.6,628.16,625.12,626.48,2461.886,1772114399999,1542332.82541,27597,1345.244,842901.81602
1772114400000,626.47,628.52,621.0,625.43,11323.099,1772117999999,7074655.88206,82989,5730.779,3579268.70476
